Nonce,Incoming/Outgoing,Transaction Status,Category,Recipient Name,Token,Token Symbol,Tag,Token Amount,USD Amount,From Address,To Address,Description,Transaction Hash,Executed at,Transaction fees
,Incoming,Success,Other,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,4800,--,0xAe12D368BB4FF18ee633CAcf4dcf497885466f32,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0xe3f5c09c8ee0f0fe32a365923adda742bf56c7918e97345b3d8e2bbaab28d0fa,31-05-2022 10:05:00 -04:00,--
,Incoming,Success,Other,,ETH,ENS,,0,--,0xA386621F99D2B74DE33051cd5A5d00967668afDd,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0xc2771bd0bd9a748d8b7b459cab925dd1645f8fda9d98cb9b09920d429d772322,26-04-2022 18:04:00 -04:00,--
,Incoming,Success,Other,,ETH,ETH,,0.770807186,--,0x05719687aF6e0BE7C3f682db0C24Fa68C49Db717,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x98c63549f7d55be1623b0462f2ed08f8a82b01471ecc13ccf7555313c36fd5cb,18-01-2022 19:01:00 -05:00,--
,Incoming,Success,Other,,0xC628726769e8FbE31f812A5b2247BF2A702f069a,FRZ,,2000000,--,0x0fBb8D17027b16810795B12cBEadc65B252530C4,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x94edcdeb6adcd286a2a8dbb6c3061607b74d9312781cc1ed2552bfc65a4645ab,08-06-2022 02:06:00 -04:00,--
,Incoming,Success,Other,,ETH,ETH,,0.05,--,0x99b5Fb37B04C966dCaF1EDB5eA27B08644Cc4d08,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x8f012701fff952edeaf4ce7dd58bf71764b70a055e46ea3dde439b21d66eac18,02-12-2021 18:12:00 -05:00,--
,Incoming,Success,Other,,0x04906695D6D12CF5459975d7C3C03356E4Ccd460,sOHM,,1.032900861,--,0x765E406Eb1Bb0909F4Eae2fe5B52c21C9E61b498,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x8a0bf6436555811a0c5ef98ca24f97d294931b2e71b980cc91651b69734faa0c,04-05-2022 22:05:00 -04:00,--
,Incoming,Success,Other,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,100004.69,--,0xf60c2Ea62EDBfE808163751DD0d8693DCb30019c,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x81579cfd8f7f21c8f9013b1e5fc6b301803b8a6d532c20b3fcd31b9a985cf908,21-01-2022 09:01:00 -05:00,--
,Incoming,Success,Other,,0xC628726769e8FbE31f812A5b2247BF2A702f069a,FRZ,,4000000,--,0x0fBb8D17027b16810795B12cBEadc65B252530C4,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x77670bad3bf1ad5d7cc84344b7e33a33552a3b9b24874a66883a31cfe65760f0,14-06-2022 09:06:00 -04:00,--
,Incoming,Success,Other,,0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5,OHM,,952,--,0x0675b8FFDf2406451fADaEDf66cf6c2f1eC5CDb5,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x60faf5dff551033717e604f714da96fcdd78f92a24bef7c3081b196e0eb1f0fb,25-03-2022 05:03:00 -04:00,--
,Incoming,Success,Other,,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,,2374.169041,--,0x1FdaB740cfE41fda27E896fa08D7528E61b06E46,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x3fa3eb14f985d7bcb024ea7e29f2e6940f16224ec3f50e1b586170f2d9fc7938,01-03-2022 11:03:00 -05:00,--
